"approach","parameter","truth","mean_est","bias","rmse","mae","sd_est","coverage","ci_width","n_ok","dep_type","dep_par","k_true","n","r","r_label","n_exc","n_exc_nom","S","m","sigma","p_thresh","threshold","cred_mass","interval","seed","secs"
"Cluster maxima (POT)","zm",2.99247827247882,2.59443292303125,-0.398045349447568,2.06702872358663,0.802606959924873,2.02844253106306,0.0605,0.23305893391963,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Conventional","k",-0.3,-0.527354915682832,-0.227354915682833,0.311210983111072,0.254388939072215,0.212524198568798,0.1794,0.112644728038225,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Weighted GPD","k",-0.3,-0.306150483523391,-0.00615048352339096,0.496388219842888,0.363227999573752,0.496374934055635,0.2879,0.255587975580254,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Cluster maxima (POT)","k",-0.3,-1.1823982461244,-0.882398246124396,1.3294640254041,1.15120194624223,0.994458055808654,0.0625,0.101503785019245,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Conventional","sigma",0.448931528365261,0.272490430535388,-0.176441097829873,0.242693630394788,0.207933795965135,0.142014435283171,NA,NA,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Weighted GPD","sigma",0.448931528365261,0.237500148958492,-0.211431379406769,0.292282677226404,0.259642379953358,0.179936602132704,NA,NA,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Cluster maxima (POT)","sigma",0.448931528365261,0.599765805422763,0.150834277057502,0.42299513324938,0.340941708747355,0.397656405431113,NA,NA,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Conventional","zm",3.0564729933441,2.31805285149995,-0.738420141844152,0.810620378659966,0.74164209312932,0.334443235311246,0.0046,0.0514894153645453,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Weighted GPD","zm",3.0564729933441,2.98188736593375,-0.074585627410352,4.08486585026969,1.1145625231006,4.08438908801617,0.1144,0.830370121118629,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Cluster maxima (POT)","zm",3.0564729933441,2.94898366709484,-0.10748932624926,6.67186897946078,1.16805431674587,6.67133662747378,0.073,0.558895114443645,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,4000,1,0.95,"empirical",0.95,"eti",244935,2436.23102998734
"Conventional","k",-0.3,-0.527983385048022,-0.227983385048022,0.311607466547603,0.253909230117586,0.212431876328551,0.1648,0.0989209196883143,10000,"log",0.05,-0.3,10000,NA,"auto",499.9992,500,10000,2000,1,0.95,"empirical",0.95,"eti",246307,4345.51860809326
"Weighted GPD","k",-0.3,-0.325084306210351,-0.0250843062103509,0.496135338524326,0.361773653368625,0.495525585893625,0.2615,0.221783974570641,10000,"log",0.05,-0.3,10000,NA,"auto",499.9992,500,10000,2000,1,0.95,"empirical",0.95,"eti",246307,4345.51860809326
"Cluster maxima (POT)","k",-0.3,-1.15234743943535,-0.852347439435348,1.28946451453199,1.10414842726733,0.967634336072293,0.0655,0.0932448771156694,10000,"log",0.05,-0.3,10000,NA,"auto",499.9992,500,10000,2000,1,0.95,"empirical",0.95,"eti",246307,4345.51860809326
"Conventional","sigma",0.439402688696318,0.291900422736633,-0.147502265959685,0.224875086659109,0.190503695816007,0.147823473982128,NA,NA,10000,"log",0.05,-0.3,10000,NA,"auto",499.9992,500,10000,2000,1,0.95,"empirical",0.95,"eti",246307,4345.51860809326
"Weighted GPD","sigma",0.439402688696318,0.260012199380541,-0.179390489315777,0.281667110580722,0.246455278103312,0.195414480149197,NA,NA,10000,"log",0.05,-0.3,10000,NA,"auto",499.9992,500,10000,2000,1,0.95,"empirical",0.95,"eti",246307,4345.51860809326
"Cluster maxima (POT)","sigma",0.439402688696318,0.622877245008556,0.183474556312238,0.449679538774408,0.361320036809548,0.405620023534796,NA,NA,10000,"log",0.05,-0.3,10000,NA,"auto",499.9992,500,10000,2000,1,0.95,"empirical",0.95,"eti",246307,4345.51860809326
